team_a_strength,team_b_strength,toss_winner_is_a,toss_decision_bat,is_first_innings,batting_team_is_a,runs_a,wickets_a,overs_a,runs_b,wickets_b,overs_b,target,label_winner_is_a
0.52,0.54,0,1,1,0,0,0,0.0,9,0,1.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,14,1,2.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,14,2,3.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,17,2,4.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,22,2,5.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,26,2,6.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,31,3,7.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,39,4,8.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,46,4,9.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,49,4,10.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,53,4,11.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,62,4,12.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,66,4,13.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,75,4,14.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,79,4,15.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,86,5,16.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,90,5,17.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,96,5,18.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,100,5,19.0,0,1
0.52,0.54,0,1,1,0,0,0,0.0,117,5,20.0,0,1
0.52,0.54,0,1,0,1,5,0,1.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,11,0,2.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,21,0,3.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,26,0,4.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,28,0,5.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,37,2,6.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,48,2,7.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,51,2,8.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,61,3,9.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,65,3,10.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,71,3,11.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,79,3,12.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,91,3,13.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,93,3,14.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,96,3,15.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,106,4,16.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,109,4,17.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,113,4,18.0,117,5,20.0,118,1
0.52,0.54,0,1,0,1,123,4,18.67,117,5,20.0,118,1
0.53,0.42,0,1,1,0,0,0,0.0,12,0,1.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,16,0,2.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,27,1,3.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,30,1,4.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,45,1,5.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,58,1,6.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,65,1,7.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,77,1,8.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,82,2,9.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,89,2,10.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,105,3,11.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,115,3,12.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,130,3,13.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,134,4,14.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,144,4,15.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,147,4,16.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,155,4,17.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,166,4,18.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,168,6,19.0,0,0
0.53,0.42,0,1,1,0,0,0,0.0,173,6,20.0,0,0
0.53,0.42,0,1,0,1,7,1,1.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,20,2,2.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,22,3,3.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,27,3,4.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,39,3,5.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,44,3,6.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,55,3,7.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,63,3,8.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,65,4,9.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,71,5,10.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,77,5,11.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,87,5,12.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,93,6,13.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,104,7,14.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,113,7,15.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,126,7,16.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,136,8,17.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,146,9,18.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,156,10,19.0,173,6,20.0,174,0
0.53,0.42,0,1,0,1,156,10,19.17,173,6,20.0,174,0
0.57,0.6,0,0,1,1,4,0,1.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,8,0,2.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,21,0,3.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,28,0,4.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,33,1,5.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,37,1,6.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,42,1,7.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,54,1,8.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,61,1,9.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,65,1,10.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,71,1,11.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,74,1,12.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,84,1,13.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,90,1,14.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,100,1,15.0,0,0,0.0,0,0
0.57,0.6,0,0,1,1,109,2,16.0,0,0,0.0,0,0
